Date,Day,Tests,Cases,People.Not.Positive...Total,People.Tested...Age.0.17,People.Tested...Age.18.29,People.Tested...Age.30.39,People.Tested...Age.40.49,People.Tested...Age.50.59,People.Tested...Age.60.69,People.Tested...Age.70.79,People.Tested...Age.80.,People.Tested...Age.Unknown,People.Tested...Female,People.Tested...Male,People.Tested...Gender.Unknown,People.Tested...Latinx,People.Tested...Asian.Non.Latinx,People.Tested...Black.Non.Latinx,People.Tested...White.Non.Latinx,People.Tested...Other.Race.Non.Latinx,People.Tested...Unknown.Race.Ethnicity,People.Positive...Age.0.17,People.Positive...Age.18.29,People.Positive...Age.30.30,People.Positive...Age.40.49,People.Positive...Age.50.59,People.Positive...Age.60.69,People.Positive...Age.70.79,People.Positive...Age.80.,People.Positive...Age.Unknown,People.Positive...Female,People.Positive...Male,People.Positive...Gender.Unknown,People.Positive...Latinx,People.Positive...Asian.Non.Latinx,People.Positive...Black.Non.Latinx,People.Positive...White.Non.Latinx,People.Positive...Other.Race.Non.Latinx,People.Positive...Unknown.Race.Ethnicity,People.Not.Positive...Age.0.17,People.Not.Positive...Age.18.29,People.Not.Positive...Age.30.39,People.Not.Positive...Age.40.49,People.Not.Positive...Age.50.59,People.Not.Positive...Age.60.69,People.Not.Positive...Age.70.79,People.Not.Positive...Age.80.,People.Not.Positive...Age.Unknown,People.Not.Positive...Female,People.Not.Positive...Male,People.Not.Positive...Gender.Unknown,People.Not.Positive...Latinx,People.Not.Positive...Asian.Non.Latinx,People.Not.Positive...Black.Non.Latinx,People.Not.Positive...White.Non.Latinx,People.Not.Positive...Other.Race.Non.Latinx,People.Not.Positive...Unknown.Race.Ethnicity
3/14/2020,Saturday,150.00,31.00,119.00,7.00,36.00,20.00,27.00,23.00,19.00,10.00,3.00,5.00,76.00,68.00,6.00,10.00,3.00,31.00,48.00,4.00,54.00,0.00,9.00,2.00,7.00,6.00,3.00,3.00,1.00,0.00,17.00,12.00,2.00,2.00,2.00,10.00,17.00,0.00,0.00,7.00,27.00,18.00,20.00,17.00,16.00,7.00,2.00,5.00,59.00,56.00,4.00,8.00,1.00,21.00,31.00,4.00,54.00
4/30/2020,Thursday,4510.00,1251.00,3259.00,228.00,789.00,772.00,751.00,692.00,582.00,318.00,364.00,14.00,2324.00,2037.00,149.00,996.00,73.00,559.00,557.00,165.00,2160.00,57.00,225.00,221.00,221.00,184.00,149.00,93.00,101.00,0.00,608.00,616.00,27.00,526.00,18.00,193.00,143.00,50.00,321.00,171.00,564.00,551.00,530.00,508.00,433.00,225.00,263.00,14.00,1716.00,1421.00,122.00,470.00,55.00,366.00,414.00,115.00,1839.00
4/29/2020,Wednesday,4284.00,1140.00,3144.00,194.00,793.00,811.00,753.00,718.00,515.00,261.00,228.00,11.00,2194.00,1926.00,164.00,950.00,71.00,623.00,504.00,183.00,1953.00,54.00,206.00,227.00,217.00,199.00,117.00,61.00,59.00,0.00,524.00,579.00,37.00,501.00,15.00,158.00,109.00,48.00,309.00,140.00,587.00,584.00,536.00,519.00,398.00,200.00,169.00,11.00,1670.00,1347.00,127.00,449.00,56.00,465.00,395.00,135.00,1644.00
4/1/2020,Wednesday,1394.00,460.00,934.00,32.00,187.00,264.00,295.00,240.00,210.00,102.00,64.00,0.00,766.00,595.00,33.00,136.00,30.00,407.00,169.00,57.00,595.00,3.00,55.00,69.00,87.00,84.00,92.00,41.00,29.00,0.00,238.00,202.00,20.00,99.00,19.00,220.00,62.00,15.00,45.00,29.00,132.00,195.00,208.00,156.00,118.00,61.00,35.00,0.00,528.00,393.00,13.00,37.00,11.00,187.00,107.00,42.00,550.00
5/24/2020,Sunday,2202.00,280.00,1922.00,145.00,407.00,400.00,352.00,337.00,284.00,184.00,89.00,4.00,1049.00,1134.00,19.00,287.00,28.00,404.00,382.00,68.00,1033.00,16.00,56.00,42.00,49.00,33.00,47.00,22.00,15.00,0.00,149.00,131.00,0.00,113.00,3.00,48.00,18.00,13.00,85.00,129.00,351.00,358.00,303.00,304.00,237.00,162.00,74.00,4.00,900.00,1003.00,19.00,174.00,25.00,356.00,364.00,55.00,948.00
5/17/2020,Sunday,2053.00,328.00,1725.00,120.00,330.00,344.00,294.00,362.00,321.00,170.00,110.00,2.00,1072.00,929.00,52.00,315.00,34.00,384.00,323.00,77.00,920.00,17.00,56.00,57.00,37.00,64.00,45.00,22.00,30.00,0.00,158.00,168.00,2.00,136.00,6.00,67.00,30.00,14.00,75.00,103.00,274.00,287.00,257.00,298.00,276.00,148.00,80.00,2.00,914.00,761.00,50.00,179.00,28.00,317.00,293.00,63.00,845.00
5/10/2020,Sunday,1539.00,306.00,1233.00,107.00,292.00,300.00,221.00,214.00,182.00,116.00,103.00,4.00,781.00,754.00,4.00,307.00,23.00,287.00,288.00,72.00,562.00,17.00,58.00,53.00,65.00,42.00,40.00,14.00,17.00,0.00,139.00,166.00,1.00,120.00,7.00,62.00,37.00,14.00,66.00,90.00,234.00,247.00,156.00,172.00,142.00,102.00,86.00,4.00,642.00,588.00,3.00,187.00,16.00,225.00,251.00,58.00,496.00
5/16/2020,Saturday,3332.00,505.00,2827.00,206.00,529.00,535.00,509.00,538.00,499.00,349.00,165.00,2.00,1835.00,1430.00,67.00,492.00,43.00,475.00,403.00,116.00,1803.00,35.00,105.00,86.00,92.00,75.00,58.00,33.00,21.00,0.00,275.00,223.00,7.00,198.00,11.00,91.00,48.00,16.00,141.00,171.00,424.00,449.00,417.00,463.00,441.00,316.00,144.00,2.00,1560.00,1207.00,60.00,294.00,32.00,384.00,355.00,100.00,1662.00
5/1/2020,Friday,4291.00,1149.00,3142.00,219.00,774.00,808.00,730.00,701.00,529.00,327.00,196.00,7.00,2268.00,1843.00,180.00,937.00,92.00,631.00,549.00,194.00,1888.00,57.00,222.00,216.00,199.00,190.00,132.00,69.00,64.00,0.00,604.00,514.00,31.00,521.00,26.00,179.00,107.00,46.00,270.00,162.00,552.00,592.00,531.00,511.00,397.00,258.00,132.00,7.00,1664.00,1329.00,149.00,416.00,66.00,452.00,442.00,148.00,1618.00
5/3/2020,Sunday,1770.00,452.00,1318.00,100.00,375.00,333.00,254.00,266.00,214.00,135.00,88.00,5.00,862.00,856.00,52.00,365.00,41.00,351.00,229.00,65.00,719.00,10.00,98.00,74.00,75.00,79.00,61.00,28.00,27.00,0.00,204.00,236.00,12.00,186.00,8.00,101.00,36.00,20.00,101.00,90.00,277.00,259.00,179.00,187.00,153.00,107.00,61.00,5.00,658.00,620.00,40.00,179.00,33.00,250.00,193.00,45.00,618.00
